School Name	School District
Lower Lincoln Elementary	Anglophone West
Léandre-LeGresley	Francophone Nord-Est
l’Amitié	Francophone Nord-Est
L’Envolée	Francophone Nord-Est
l’Escale-des-Jeunes	Francophone Nord-Est
l’Étincelle	Francophone Nord-Est
M. Gerald Teed Memorial	Anglophone South
Macdonald Consolidated	Anglophone South
Magnetic Hill	Anglophone East
Marguerite-Bourgeoys	Francophone Nord-Est
Marie-Esther	Francophone Nord-Est
Marie-Gaétane	Francophone Nord-Ouest
Marie-Immaculée	Francophone Nord-Ouest
Marshview Middle	Anglophone East
Marée Montante	Francophone Sud
Mathieu-Martin	Francophone Sud
McAdam Avenue Elementary	Anglophone West
McAdam Elementary	Anglophone West
McAdam High	Anglophone West
Mgr Marcel-François-Richard	Francophone Sud
Mgr-François-Bourgeois	Francophone Sud
Mgr-Lang	Francophone Nord-Ouest
Mgr-Martin	Francophone Nord-Ouest
Mgr-Matthieu-Mazerolle	Francophone Nord-Ouest
Mgr-Melanson	Francophone Nord-Est
Millerton School	Anglophone North
Millidgeville North	Anglophone South
Milltown Elementary	Anglophone South
Millville Elementary	Anglophone West
Minto Elementary & Middle	Anglophone West
Minto Memorial	Anglophone West
Miramichi Rural	Anglophone North
Miramichi Valley	Anglophone North
Moncton High	Anglophone East
Mont-Carmel	Francophone Sud
Montgomery Street Elementary	Anglophone West
Morna Heights Elementary	Anglophone South
Mountain View	Anglophone East
Nackawic Elementary	Anglophone West
Nackawic High	Anglophone West
Nackawic Middle	Anglophone West
Napan Elementary	Anglophone North
Nashwaak Valley	Anglophone West
Nashwaaksis Memorial	Anglophone West
Nashwaaksis Middle	Anglophone West
Nelson Rural	Anglophone North
New Denmark	Anglophone West
New Maryland Elementary	Anglophone West
North & South Esk Elementary	Anglophone North
North & South Esk Regional	Anglophone North
Northrop Frye	Anglophone East
Norton Elementary	Anglophone South
Notre-Dame	Francophone Nord-Est
Notre-Dame	Francophone Nord-Ouest
Notre-Dame	Francophone Sud
Ola-Léger	Francophone Nord-Est
Oromocto High	Anglophone West
Park Street Elementary	Anglophone West
Parkwood Elementary	Anglophone North
Pennfield Elementary	Anglophone South
Perth-Andover Middle	Anglophone West
Petitcodiac Regional	Anglophone East
Place-des-Jeunes	Francophone Nord-Est
Port Elgin Regional	Anglophone East
Priestman Street Elementary	Anglophone West
Prince Charles Elementary	Anglophone South
Princess Elizabeth	Anglophone South
Père-Edgar-T.-LeBlanc	Francophone Sud
Queen Elizabeth	Anglophone East
Quispamsis Elementary	Anglophone South
Quispamsis Middle	Anglophone South
René-Chouinard	Francophone Nord-Est
Rexton Elementary	Anglophone North
Ridgeview Middle	Anglophone West
River Valley	Anglophone South
Riverside Consolidated	Anglophone East
Riverview East	Anglophone East
Riverview High	Anglophone East
Riverview Middle	Anglophone East
Roland-Pépin	Francophone Nord-Est
Rothesay Elementary	Anglophone South
Rothesay High	Anglophone South
Rothesay Park	Anglophone South
Royal Road Elementary	Anglophone West
Régionale de Baie Sainte-Anne	Francophone Sud
Sacré-Coeur	Francophone Nord-Ouest
